year,imdb,title
2013,tt1711425,21 &amp; Over
2012,tt1343727,Dredd 3D
2013,tt2024544,12 Years a Slave
2013,tt1272878,2 Guns
2013,tt0453562,42
2013,tt1335975,47 Ronin
2013,tt1606378,A Good Day to Die Hard
2013,tt2194499,About Time
2013,tt1814621,Admission
2013,tt1815862,After Earth
2013,tt1800241,American Hustle
2013,tt1322269,August: Osage County
2013,tt1559547,Beautiful Creatures
2013,tt2334873,Blue Jasmine
2013,tt1535109,Captain Phillips
2013,tt1939659,Carrie
2013,tt1985966,Cloudy with a Chance of Meatballs 2
2013,tt1690953,Despicable Me 2
2013,tt2229499,Don Jon
2013,tt1535108,Elysium
2013,tt1731141,Ender&#39;s Game
2013,tt0848537,Epic
2013,tt0765446,Escape from Planet Earth
2013,tt1211956,Escape Plan
2013,tt1288558,Evil Dead
2013,tt1905041,Fast and Furious 6
2013,tt2294629,Frozen
2013,tt1583421,G.I. Joe: Retaliation
2013,tt1321870,Gangster Squad
2013,tt2425486,Gloria
2013,tt1454468,Gravity
2013,tt2191701,Grown Ups 2
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters
2013,tt1798709,Her
2013,tt2024432,Identity Thief
2013,tt2226417,Insidious: Chapter 2
2013,tt1300854,Iron Man 3
2013,tt1351685,Jack the Giant Slayer
2013,tt1650554,Kick-Ass 2
2013,tt1204975,Last Vegas
2013,tt1327773,Lee Daniels&#39; The Butler
2013,tt2002718,Machete Kills
2013,tt2023587,Mama
2013,tt0770828,Man of Steel
2013,tt1821549,Nebraska
2013,tt1670345,Now You See Me
2013,tt1483013,Oblivion
2013,tt2302755,Olympus Has Fallen
2013,tt1623205,Oz the Great and Powerful
2013,tt1663662,Pacific Rim
2013,tt1980209,Pain &amp; Gain
2013,tt1904996,Parker
2013,tt1699755,Peeples
2013,tt1854564,Percy Jackson: Sea of Monsters
2013,tt1392214,Prisoners
2013,tt0790736,R.I.P.D.
2013,tt1821694,Red 2
2013,tt1411250,Riddick
2013,tt2364841,Runner Runner
2013,tt1979320,Rush
2013,tt1702439,Safe Haven
2013,tt2140373,Saving Mr. Banks
2013,tt2053463,Side Effects
2013,tt1408101,Star Trek Into Darkness
2013,tt1572315,Texas Chainsaw 3D
2013,tt1931435,The Big Wedding
2013,tt0816442,The Book Thief
2013,tt1911644,The Call
2013,tt1457767,The Conjuring
2013,tt2193215,The Counselor
2013,tt0481499,The Croods
2013,tt2404311,The Family
2013,tt1837703,The Fifth Estate
2013,tt2005374,The Frozen Ground
2013,tt1343092,The Great Gatsby
2013,tt1951261,The Hangover part 3
2013,tt2404463,The Heat
2013,tt1170358,The Hobbit: The Desolation of Smaug
2013,tt1517260,The Host
2013,tt1951264,The Hunger Games: Catching Fire
2013,tt0790628,The Incredible Burt Wonderstone
2013,tt2234155,The Internship
2013,tt2034139,The Last Exorcism Part II
2013,tt1210819,The Lone Ranger
2013,tt1538403,The Mortal Instruments: City of Bones
2013,tt2184339,The Purge
2013,tt2017020,The Smurfs 2
2013,tt1758795,The To Do List
2013,tt1727388,The Way Way Back
2013,tt0993846,The Wolf of Wall Street
2013,tt1430132,The Wolverine
2013,tt1213663,The World&#39;s End
2013,tt1245492,This Is the End
2013,tt1981115,Thor: The Dark World
2013,tt1924429,Trance
2013,tt1860353,Turbo
2013,tt1588173,Warm Bodies
2013,tt1723121,We&#39;re the Millers
2013,tt2334879,White House Down
2013,tt0816711,World War Z
2012,tt1611224,Abraham Lincoln: Vampire Hunter
2012,tt1591479,Act of Valor
2012,tt1602620,Amour
2012,tt1781769,Anna Karenina
2012,tt1024648,Argo
2012,tt1440129,Battleship
2012,tt2125435,Beasts of the Southern Wild
2012,tt1758575,Blue Like Jazz
2012,tt1217209,Brave
2012,tt1308729,Bullet to the Head
2012,tt1991245,Chernobyl Diaries
2012,tt1706593,Chronicle
2012,tt1371111,Cloud Atlas
2012,tt1524137,Contraband
2012,tt1853728,Django Unchained
2012,tt1907668,Flight
2012,tt1142977,Frankenweenie
2012,tt2243973,Hannibal
2012,tt0837562,Hotel Transylvania
2012,tt0790724,Jack Reacher
2012,tt2106476,Jagten
2012,tt0401729,John Carter
2012,tt1764234,Killing Them Softly
2012,tt1707386,Les Miserables
2012,tt0454876,Life of Pi
2012,tt0443272,Lincoln
2012,tt1277953,Madagascar 3: Europe&#39;s Most Wanted
2012,tt1409024,Men in Black III
2012,tt1667353,Mirror Mirror
2012,tt1748122,Moonrise Kingdom
2012,tt2094064,Much Ado About Nothing
2012,tt1598828,One for the Money
2012,tt2109184,Paranormal Activity 4
2012,tt1623288,ParaNorman
2012,tt1047540,Parental Guidance
2012,tt1716777,People Like Us
2012,tt1981677,Pitch Perfect
2012,tt1547234,Premium Rush
2012,tt1234719,Red Dawn
2012,tt0485985,Red Tails
2012,tt1446192,Rise of the Guardians
2012,tt1336608,Rock of Ages
2012,tt1656190,Safe
2012,tt1862079,Safety Not Guaranteed
2012,tt1931533,Seven Psychopaths
2012,tt0938330,Silent Hill: Revelation 3D
2012,tt1045658,Silver Linings Playbook
2012,tt1922777,Sinister
2012,tt1074638,Skyfall
2012,tt1735898,Snow White and the Huntsman
2012,tt1876451,Sparkle
2012,tt2101441,Spring Breakers
2012,tt1800741,Step Up Revolution
2012,tt1874789,Supporting Characters
2012,tt1637725,Ted
2012,tt1232200,That&#39;s My Boy
2012,tt0948470,The Amazing Spider-Man
2012,tt0848228,The Avengers
2012,tt1345836,The Dark Knight Rises
2012,tt1560985,The Devil Inside
2012,tt1645170,The Dictator
2012,tt1764651,The Expendables 2
2012,tt1601913,The Grey
2012,tt0903624,The Hobbit: An Unexpected Journey
2012,tt1392170,The Hunger Games
2012,tt1649419,The Impossible
2012,tt1258972,The Man with the Iron Fists
2012,tt1560747,The Master
2012,tt1430626,The Pirates! Band of Misfits
2012,tt1817273,The Place Beyond the Pines
2012,tt1673434,The Twilight Saga: Breaking Dawn - Part 2
2012,tt1606389,The Vow
2012,tt1298649,The Watch
2012,tt1596365,The Woman in Black
2012,tt1840417,The Words
2012,tt1621045,Think Like a Man
2012,tt1859650,To Rome With Love
2012,tt1386703,Total Recall
2012,tt1496025,Underworld: Awakening
2012,tt1655460,Wanderlust
2012,tt1586265,What to Expect When You&#39;re Expecting
2012,tt1870529,Won&#39;t Back Down
2012,tt1646987,Wrath of the Titans
2012,tt1772341,Wreck-It Ralph
2012,tt1790885,Zero Dark Thirty
2011,tt1622547,30 Minutes or Less
2011,tt1306980,50/50
2011,tt1571222,A Dangerous Method
2011,tt1422136,A Lonely Place to Die
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas
2011,tt1549572,Another Earth
2011,tt1772240,Apollo 18
2011,tt1430607,Arthur Christmas
2011,tt1478964,Attack the Block
2011,tt1284575,Bad Teacher
2011,tt1217613,Battle: Los Angeles
2011,tt1152398,Beastly
2011,tt1629705,Blackthorn
2011,tt1478338,Bridesmaids
2011,tt0458339,Captain America: The First Avenger
2011,tt1216475,Cars 2
2011,tt1684628,Circumstance
2011,tt1657507,Colombiana
2011,tt0816462,Conan the Barbarian
2011,tt1598778,Contagion
2011,tt1372686,Coriolanus
2011,tt0409847,Cowboys &amp; Aliens
2011,tt1701990,Detention
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules
2011,tt1564349,Dolphin Tale
2011,tt1462041,Dream House
2011,tt0780504,Drive
2011,tt1596343,Fast Five
2011,tt1622979,Final Destination 5
2011,tt1068242,Footloose
2011,tt1438176,Fright Night
2011,tt1133985,Green Lantern
2011,tt0480687,Hall Pass
2011,tt0993842,Hanna
2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2
